title,url
"Emily Bender Sets the Record Straight on ""Stochastic Parrots""",https://spectrum.ieee.org/stochastic-parrot
Aluminum foil (2021),https://dernocua.github.io/notes/aluminum-foil.html
Road to Elm 1.0,https://elm-lang.org/news/faster-builds
AMD Ryzen AI Halo – $4k AI Dev Kit,https://www.lttlabs.com/articles/2026/07/06/amd-ryzen-ai-halo
Real-time map of Great Britain's rail network,https://www.map.signalbox.io
"Fable 5 On Vending-Bench: Misbehaving, With Plausible Deniability",https://andonlabs.com/blog/fable5-vending-bench
How Kalshi Infects the News,https://www.publicnotice.co/p/kalshi-cnn-cnbc
Clojure 1.13 adds support for checked keys,https://clojure.org/news/2026/07/02/clojure-1-13-alpha1
Nintendo announces new product revisions in Europe with replaceable batteries,https://www.nintendo.com/en-gb/Support/Nintendo-Switch-2/Information-about-upcoming-battery-related-revisions-to-some-Nintendo-products-3132901.html
Do you really need separate systems when you already have Postgres?,https://postgresisenough.dev/
When 2+2=5,https://arstechnica.com/security/2026/06/ai-browsers-can-be-lulled-into-a-dream-world-where-guardrails-no-longer-apply/
Why low-latency Java still requires discipline?,https://chronicle.software/insights/blogs/why-low-latency-java-still-requires-discipline
Workers Cache,https://blog.cloudflare.com/workers-cache/
GPT-5.6 Sol Ultra will be in Codex,https://twitter.com/thsottiaux/status/2073933490513752151
Introduction to Genomics for Engineers,https://learngenomics.dev/docs/biological-foundations/cells-genomes-dna-chromosomes/
Footage Shows Cop Stalking Woman After Surveilling Her with a LPR,https://www.404media.co/footage-shows-cop-stalking-woman-he-met-on-a-tv-set-after-surveilling-her-with-a-license-plate-reader/
Show HN: Scan your AI agents for dangerous capabilities,https://github.com/makerchecker/MakerChecker
Building relationships with customers through support didn't turn out as hoped,https://www.uncommonapps.nyc/p/castro-podcasts-things-i-got-wrong-support
Has_not_been_viewed_much,https://iamwillwang.com/notes/has-not-been-viewed-much/
Lost and Found,https://walzr.com/lost-and-found
